twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@BBC,100,Wed May 13 13:29:29 +0000 2020,0.0,0.0,0.0,1.0,HealthCheckUK Live | Weekdays | 10am | @bbcone &amp; @bbciplayer.  https://t.co/N23q55jbD9
@BBC,99,Wed May 13 17:25:24 +0000 2020,0.0,0.0,0.0,1.0,"'It can happen to anyone.'

#Hospital https://t.co/eu787uvl9E"
@BBC,98,Wed May 13 17:26:16 +0000 2020,0.0,0.0,0.0,1.0,#Hospital: Coronavirus Specials are streaming now on @BBCiPlayer. https://t.co/4XgEd1XJbX
@BBC,97,Wed May 13 19:14:42 +0000 2020,-0.8316,0.322,0.049,0.629,"Victorian thriller #ViennaBlood follows a junior doctor who is researching the criminal mind... 😱

9pm | @BBCTwo &amp;… https://t.co/M9cMrBb3fJ"
@BBC,96,Thu May 14 08:01:00 +0000 2020,0.3612,0.0,0.135,0.865,Thank you from @bbcarts and @OwainWynEvans to EVERYONE who uploaded #YouGotTheLove videos and artwork to the… https://t.co/WNc4PWI2Ew
@BBC,95,Thu May 14 11:01:00 +0000 2020,-0.5423,0.22,0.0,0.78,Two of the nation’s favourite film critics @KermodeMovie and @simonmayo are turning their critical attention from c… https://t.co/OZvCrUJo0w
@BBC,94,Thu May 14 13:01:00 +0000 2020,-0.4071,0.115,0.0,0.885,"The face of someone about to VERY seriously judge a dessert... 🧐🤔

@BBCR1 presenter and children's author… https://t.co/jTdnnf8LLn"
@BBC,93,Thu May 14 15:00:23 +0000 2020,0.0,0.0,0.0,1.0,"RT @BBCNewsbeat: The #Eurovision acts have recorded this message to fans who would normally be watching this week.
 
It's part of our new d…"
@BBC,92,Thu May 14 16:01:00 +0000 2020,0.3182,0.071,0.117,0.813,It took a group of volunteers 45 minutes to rescue a wild horse stuck in a deep mud hole in the foothills of Albert… https://t.co/m3dv9Ah7ez
@BBC,91,Thu May 14 19:01:00 +0000 2020,0.4019,0.0,0.144,0.856,"The brand new one-off special Wipe from @charltonbrooker is nearly here...

Charlie Brooker's #AntiviralWipe | 9pm… https://t.co/vCbTKrC3sf"
@BBC,90,Thu May 14 20:04:26 +0000 2020,0.802,0.068,0.289,0.643,"For everyone whose life has changed. For everyone who misses a loved one.

You got the love. You got this.… https://t.co/t8zgf8PCFX"
