twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@CBS,100,Sun May 17 00:37:07 +0000 2020,-0.2411,0.094,0.0,0.906,"""And sometimes you'll feel out of place
You can't promise me it'll be the same
Cause sometimes change""

-@HERMusicx… https://t.co/r1bBmoBcMW"
@CBS,99,Sun May 17 00:40:02 +0000 2020,0.0,0.0,0.0,1.0,"""Building your community is how you change the world."" - @KingJames #GraduateTogether https://t.co/334kp2N6Lz"
@CBS,98,Sun May 17 00:45:20 +0000 2020,0.6466,0.0,0.28,0.72,"What @lizakoshy said. We're so proud of you, graduating seniors! #GraduateTogether https://t.co/7I6P2Y13qv"
@CBS,97,Sun May 17 00:55:28 +0000 2020,-0.296,0.115,0.0,0.885,"""This is your generation’s world to shape.""
""Build a community. No one does big things by themselves.""… https://t.co/8YI6xUwx99"
@CBS,96,Sun May 17 00:57:10 +0000 2020,0.6467,0.0,0.322,0.678,"Happy Graduation, Class of 2020! You did it! #GraduateTogether https://t.co/im5PpInc4O"
@CBS,95,Sun May 17 01:10:42 +0000 2020,0.6932,0.0,0.417,0.583,JOIN THEM! #GraduateTogether (video courtesy of @XQAmerica and @EIFoundation) https://t.co/PzHOuUBKhm
@CBS,94,Sun May 17 01:25:58 +0000 2020,0.0,0.0,0.0,1.0,"""This is your generation’s world to shape.""

View @BarackObama's complete commencement address to the graduating hi… https://t.co/NgX1Fz8oDu"
@CBS,93,Sun May 17 15:37:24 +0000 2020,0.0,0.0,0.0,1.0,Your mission begins TONIGHT. Watch #MissionImpossible on #CBSMovieNight starting at 8/7c on CBS and @CBSAllAccess. https://t.co/xCmfOdrkUz
@CBS,92,Sun May 17 18:42:09 +0000 2020,0.5574,0.085,0.223,0.692,"In case you missed it, or if you'd just like to graduate again, #GraduateTogether: America Honors the Class of 2020… https://t.co/yi8m5HoH23"
@CBS,91,Sun May 17 19:01:07 +0000 2020,0.0,0.0,0.0,1.0,RT @CBSSunday: Working from home: @tonydokoupil and @KatyTurNBC on broadcasting live from their basement https://t.co/M2p6z3iT03 https://t.…
@CBS,90,Sun May 17 20:04:51 +0000 2020,0.0,0.0,0.0,1.0,RT @YandR_CBS: It’s a week full of Winters starting tomorrow on #YR! ❤️ Reminisce on the history of this iconic Genoa City family and tune…
@CBS,89,Sun May 17 21:59:55 +0000 2020,0.3818,0.0,0.12,0.88,"RT @latelateshow: “Mission Impossible” will be airing during tonight’s #CBSMovieNight 

If you choose to accept this mission, tune into @CB…"
