twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@Fox,100,Thu Apr 30 22:58:31 +0000 2020,0.7096,0.0,0.33,0.67,"@alicegoldfuss honestly, it does deserve a good punching. it’s a bit of an asshole"
@Fox,99,Thu Apr 30 23:04:07 +0000 2020,-0.5267,0.268,0.0,0.732,@adamliaw sO mUcH tImE tO bE aNxIoUs aNd sTrEsSeD mIgHt pIcK uP a hObBy
@Fox,98,Thu Apr 30 23:07:31 +0000 2020,0.69,0.0,0.262,0.738,"@joelgascoigne sounds like a good decision! frankly, I’m operating at 40-50% of my normal productivity and forcing… https://t.co/kzCz2NcpIi"
@Fox,97,Thu Apr 30 23:11:33 +0000 2020,0.7999,0.0,0.324,0.676,"@joelgascoigne seems like it’s a perfect strategy especially if there’s not much loss. 

we came to a conclusion th… https://t.co/OltLD96T2P"
@Fox,96,Fri May 01 09:46:01 +0000 2020,0.7506,0.0,0.262,0.738,"RT @calibreapp: We are proud to donate free performance monitoring to @COVID19Tracking.

The Covid Tracking Project is a volunteer organisa…"
@Fox,95,Fri May 01 22:49:01 +0000 2020,-0.3903,0.107,0.0,0.893,"Tested negative for corona 🙃 (I knew that would be the case, but followed the rules nonetheless!). 

Got a call abo… https://t.co/vYTQ8FpMpb"
@Fox,94,Fri May 01 23:25:56 +0000 2020,0.8553,0.052,0.284,0.663,"It also included a free influenza and  rsv virus test, which I also don’t have. Thanks, Aussie healthcare! 😂🙏🏻"
@Fox,93,Fri May 01 23:39:47 +0000 2020,0.2263,0.084,0.156,0.76,"@KaiBrach yeah, I was also surprised. I normally don’t answer calls from No Caller ID. the only reason why I did wa… https://t.co/QaQV0VbSoP"
@Fox,92,Fri May 01 23:46:31 +0000 2020,0.4199,0.0,0.237,0.763,@MikeEsto thank you! 🙇🏻‍♀️
@Fox,91,Sat May 02 01:17:23 +0000 2020,0.68,0.0,0.285,0.715,@yesidanderfer thank you! 🤗 keeping it real at my house 🙏🏻
