twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@nytimes,100,Thu May 21 17:40:06 +0000 2020,-0.3612,0.116,0.0,0.884,Bureaucratic hurdles are making it difficult for U.S. hospitals to switch to new labs with more capacity to process… https://t.co/qwYQ3GmE8W
@nytimes,99,Thu May 21 17:50:00 +0000 2020,0.0,0.0,0.0,1.0,"RT @TaylorLorenz: 1st there was the Hype House. Now, there's:

The Sway House
The Clubhouse
The Drip Crib
The Valley House
The Kids Next Do…"
@nytimes,98,Thu May 21 17:57:58 +0000 2020,-0.6808,0.219,0.0,0.781,"“I hate to say it, but this is going to take longer and look grimmer than we thought,"" said one economist. https://t.co/zEeb2o5iGE"
@nytimes,97,Thu May 21 18:00:11 +0000 2020,-0.4945,0.208,0.0,0.792,There's generally less risk of spreading the coronavirus outdoors than indoors. But no activity is risk-free. Here… https://t.co/tF8gx9pAuK
@nytimes,96,Thu May 21 18:17:04 +0000 2020,0.34,0.0,0.124,0.876,"In Opinion

Former national security adviser and U.S. ambassador to the UN @AmbassadorRice is live now, discussing… https://t.co/9qXq2vwgOp"
@nytimes,95,Thu May 21 18:20:02 +0000 2020,-0.5965,0.15,0.0,0.85,"Across the U.S., nearly 64,000 more people died than usual between March 15 and April 25, according to a New York T… https://t.co/0lS4T0HbEU"
@nytimes,94,Thu May 21 18:22:04 +0000 2020,0.2263,0.0,0.095,0.905,"Breaking News: Facebook will allow many of its employees to permanently work from home, after the coronavirus spurr… https://t.co/mi5mPfQNK5"
@nytimes,93,Thu May 21 18:40:03 +0000 2020,0.0,0.0,0.0,1.0,The scientist and former pharmaceutical executive leading President Trump’s efforts to develop a coronavirus vaccin… https://t.co/5buQ6vyhen
@nytimes,92,Thu May 21 18:50:06 +0000 2020,-0.3551,0.21,0.112,0.678,"RT @jeannasmialek: Coronavirus ""poses the most serious threat to maximum employment and, potentially, to price stability that the United St…"
@nytimes,91,Thu May 21 19:00:08 +0000 2020,0.0772,0.0,0.058,0.942,"The average number of daily new coronavirus cases worldwide over the past week — more than 91,000 — is higher than… https://t.co/HTWE56w0NN"
@nytimes,90,Thu May 21 19:20:03 +0000 2020,0.0,0.0,0.0,1.0,"Two months into the coronavirus pandemic, nearly one in four New Yorkers is in need of food, Mayor Bill de Blasio s… https://t.co/bUhSsREi7w"
@nytimes,89,Thu May 21 19:40:03 +0000 2020,-0.5859,0.223,0.074,0.703,"In Opinion

""The forecast from researchers is grim: Warm weather alone will not control the virus in America or abr… https://t.co/2WAk6WdRVo"
@nytimes,88,Thu May 21 20:01:07 +0000 2020,0.2732,0.0,0.129,0.871,Nursing homes with a significant number of black and Latino residents have been twice as likely to be hit by the co… https://t.co/NmUgCqYyX3
@nytimes,87,Thu May 21 20:03:50 +0000 2020,0.0,0.0,0.0,1.0,More than 60% of nursing homes where at least a quarter of the residents are black or Latino have reported at least… https://t.co/dYGGBPyyEH
@nytimes,86,Thu May 21 20:06:09 +0000 2020,-0.0191,0.051,0.0,0.949,"The racial disparity in nursing homes hit by the coronavirus existed no matter the size of the facility, its locati… https://t.co/IAXAOB8Of0"
@nytimes,85,Thu May 21 20:07:32 +0000 2020,0.0,0.0,0.0,1.0,"The New York Times teamed up with @baltimoresun, @LAist and @thesouthern to interview dozens of current and former… https://t.co/qsuUxD4AdJ"
